,0
0,1640.2109747892275
1,1446.672777677967
2,1150.6930026686339
3,2531.9181782085234
4,6000.015280674016
5,2022.7387377701764
6,603.6358043056023
7,2191.848263699247
8,1558.2867025935684
9,3173.591300160111
10,1988.920758202655
11,1386.2663779771833
12,1055.2941579000096
13,2102.6636270581
14,821.6921383438561
15,2417.6582625356195
16,3241.505972873092
17,2938.3654605622264
18,2562.6492007203615
19,445.7586647207562
20,2946.032471551756
21,4057.854098454286
22,813.8955540985834
23,657.3692154992804
24,2941.3360635123136
25,1077.7301571373591
26,817.1817318112307
27,2711.3709935838956
28,4095.009872168712
29,1988.920758202655
30,-5.393603599077403
31,3064.7572827355443
32,532.8458937568295
33,5577.621849694102
34,2697.332968810946
35,5746.497988963981
36,2191.848263699247
37,643.6418201222767
38,3172.5481373393905
39,2575.0029246809445
40,1740.5181718833871
41,648.005418460969
42,2928.6638107572603
43,2187.343917630331
44,806.2094115673
45,1947.1154080799174
46,164.72066054775195
47,3237.810758055872
48,4424.374473936235
49,2143.3701912767956
50,947.9426417777344
51,1688.9377804508188
52,3067.7278856856315
53,2046.4883448985704
54,5396.068012930179
55,3177.2445453788328
56,3048.677077851937
57,709.7744075012572
58,1095.0195064022612
59,1467.750859875337
60,2619.889094950692
61,3460.8244378616955
62,3106.048889868866
63,1513.9205936877263
64,2475.4896277644007
65,2461.2767938410684
66,2720.037021863362
67,4138.3728898511135
68,2946.032471551756
69,3645.0888103911097
70,2978.1822861490014
71,2577.128641974404
72,1892.2841099808265
73,4125.016620324961
74,4138.425544608912
75,3048.677077851937
76,564.965588950898
77,2488.59244666675
78,984.2128822617108
79,2498.1936808168166
80,2506.9343974311905
81,1534.3125217351392
82,1632.7074926451153
83,3257.185098626598
84,2942.3792263330342
85,1801.8174468372022
86,3938.0458102802572
87,3862.3967603769097
88,769.3046324104205
89,1251.0293254525104
90,2793.3207291105286
91,5815.328621021609
92,2577.128641974404
93,1418.6089951125955
94,2139.0065929381035
95,813.8955540985834
96,2211.445041591507
